2026-02-11 12:22:35 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:22:35 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:26:19 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:26:19 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:26:19 | INFO | Opened image 1/2: D:\Users\Ekateryna\Desktop\Mag_projects\data\raw_images\береза 16м.JPG
2026-02-11 12:26:22 | INFO | Center set: (2760, 1622)
2026-02-11 12:26:24 | INFO | Radii set: a=604.1 b=422.9
2026-02-11 12:26:25 | INFO | Theta: -5.0 deg
2026-02-11 12:26:25 | INFO | Theta: -10.0 deg
2026-02-11 12:26:25 | INFO | Theta: -15.0 deg
2026-02-11 12:26:25 | INFO | Theta: -20.0 deg
2026-02-11 12:26:25 | INFO | Theta: -25.0 deg
2026-02-11 12:26:25 | INFO | Theta: -30.0 deg
2026-02-11 12:26:25 | INFO | Theta: -35.0 deg
2026-02-11 12:26:25 | INFO | Theta: -40.0 deg
2026-02-11 12:26:26 | INFO | Theta: -45.0 deg
2026-02-11 12:26:26 | INFO | Theta: -50.0 deg
2026-02-11 12:26:26 | INFO | Theta: -55.0 deg
2026-02-11 12:26:26 | INFO | Theta: -60.0 deg
2026-02-11 12:26:26 | INFO | Theta: -65.0 deg
2026-02-11 12:26:26 | INFO | Theta: -70.0 deg
2026-02-11 12:26:26 | INFO | Theta: -75.0 deg
2026-02-11 12:26:26 | INFO | Theta: -80.0 deg
2026-02-11 12:26:26 | INFO | Theta: -85.0 deg
2026-02-11 12:26:26 | INFO | Theta: -90.0 deg
2026-02-11 12:26:26 | INFO | Theta: -95.0 deg
2026-02-11 12:26:26 | INFO | Theta: -100.0 deg
2026-02-11 12:26:26 | INFO | Theta: -105.0 deg
2026-02-11 12:26:33 | INFO | SAVE pressed
2026-02-11 12:26:33 | INFO | Updated annotation 3e03d6ff-d4f2-4c57-93fe-e2c07a3c4b2c for image_id=bacff13e-fd40-4a8f-bf1f-00eb20315f29 tree_id=tree_001
2026-02-11 12:26:34 | INFO | Saved annotation 7b91fb94-fc35-4320-8a91-072a2df78b2a for image_id=bacff13e-fd40-4a8f-bf1f-00eb20315f29 tree_id=tree_001
2026-02-11 12:26:35 | INFO | Center set: (2760, 1709)
2026-02-11 12:26:37 | INFO | Radii set: a=540.4 b=378.3
2026-02-11 12:26:38 | INFO | Theta: -110.0 deg
2026-02-11 12:26:38 | INFO | Theta: -115.0 deg
2026-02-11 12:26:38 | INFO | Theta: -120.0 deg
2026-02-11 12:26:39 | INFO | Theta: -125.0 deg
2026-02-11 12:26:39 | INFO | Theta: -130.0 deg
2026-02-11 12:26:39 | INFO | Theta: -135.0 deg
2026-02-11 12:26:39 | INFO | Theta: -130.0 deg
2026-02-11 12:26:39 | INFO | Theta: -125.0 deg
2026-02-11 12:26:39 | INFO | Theta: -120.0 deg
2026-02-11 12:26:39 | INFO | Theta: -115.0 deg
2026-02-11 12:26:39 | INFO | Theta: -110.0 deg
2026-02-11 12:26:39 | INFO | Theta: -105.0 deg
2026-02-11 12:26:39 | INFO | Theta: -100.0 deg
2026-02-11 12:26:40 | INFO | Theta: -95.0 deg
2026-02-11 12:26:40 | INFO | Theta: -90.0 deg
2026-02-11 12:26:40 | INFO | Theta: -85.0 deg
2026-02-11 12:26:40 | INFO | Theta: -80.0 deg
2026-02-11 12:26:40 | INFO | Theta: -75.0 deg
2026-02-11 12:26:40 | INFO | Theta: -70.0 deg
2026-02-11 12:26:40 | INFO | Theta: -65.0 deg
2026-02-11 12:26:40 | INFO | Theta: -60.0 deg
2026-02-11 12:26:40 | INFO | Theta: -55.0 deg
2026-02-11 12:26:40 | INFO | Theta: -50.0 deg
2026-02-11 12:26:40 | INFO | Theta: -45.0 deg
2026-02-11 12:26:41 | INFO | Theta: -40.0 deg
2026-02-11 12:26:41 | INFO | Theta: -45.0 deg
2026-02-11 12:26:41 | INFO | Theta: -50.0 deg
2026-02-11 12:26:41 | INFO | Theta: -55.0 deg
2026-02-11 12:26:41 | INFO | Theta: -60.0 deg
2026-02-11 12:26:41 | INFO | Theta: -65.0 deg
2026-02-11 12:26:41 | INFO | Theta: -70.0 deg
2026-02-11 12:26:41 | INFO | Theta: -75.0 deg
2026-02-11 12:26:41 | INFO | Theta: -80.0 deg
2026-02-11 12:26:41 | INFO | Theta: -85.0 deg
2026-02-11 12:26:41 | INFO | Theta: -90.0 deg
2026-02-11 12:26:41 | INFO | Theta: -95.0 deg
2026-02-11 12:26:41 | INFO | Theta: -100.0 deg
2026-02-11 12:26:45 | INFO | SAVE pressed
2026-02-11 12:26:45 | INFO | Updated annotation 3e03d6ff-d4f2-4c57-93fe-e2c07a3c4b2c for image_id=bacff13e-fd40-4a8f-bf1f-00eb20315f29 tree_id=tree_001
2026-02-11 12:26:45 | INFO | Saved annotation d356b3a7-d4d3-4064-a072-38d1adf539fa for image_id=bacff13e-fd40-4a8f-bf1f-00eb20315f29 tree_id=tree_001
2026-02-11 12:26:53 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:26:53 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:30:13 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:30:13 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:30:13 | INFO | Cleanup observations done. Removed 2 orphan rows.
2026-02-11 12:31:31 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:31:31 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:31:31 | INFO | Cleanup observations done. Removed 0 orphan rows.
2026-02-11 12:31:38 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:31:38 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:33:17 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:33:17 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:33:21 | INFO | Built observation feeba703-1233-4567-8557-6ee25e150ebc for annotation 3e03d6ff-d4f2-4c57-93fe-e2c07a3c4b2c
2026-02-11 12:33:21 | INFO | Build observations finished. Added 1 observations.
2026-02-11 12:33:25 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:33:25 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:37:26 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:37:26 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:38:15 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:38:15 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:44:46 | INFO | Starting project: crown_db v0.0.1
2026-02-11 12:44:46 | INFO | Database ready: data\db\crowns.sqlite3
2026-02-11 12:44:46 | INFO | Opened image 1/2: D:\Users\Ekateryna\Desktop\Mag_projects\data\raw_images\береза 16м.JPG
2026-02-11 12:44:49 | INFO | Center set: (2778, 1651)
2026-02-11 12:44:50 | INFO | SAVE pressed
2026-02-11 12:44:50 | WARNING | Cannot save: ellipse not complete. Set center (LMB) and radii (RMB).
2026-02-11 12:44:54 | INFO | Center set: (2778, 1642)
2026-02-11 12:44:54 | INFO | Radii set: a=5.0 b=5.0
2026-02-11 12:44:55 | INFO | Theta: -5.0 deg
2026-02-11 12:44:56 | INFO | Theta: -10.0 deg
2026-02-11 12:44:56 | INFO | SAVE pressed
2026-02-11 12:44:56 | INFO | Updated annotation 3e03d6ff-d4f2-4c57-93fe-e2c07a3c4b2c for image_id=bacff13e-fd40-4a8f-bf1f-00eb20315f29 tree_id=tree_001
2026-02-11 12:44:56 | INFO | Old observation removed for annotation 3e03d6ff-d4f2-4c57-93fe-e2c07a3c4b2c
2026-02-11 12:44:57 | INFO | Observation rebuilt: obs_id=84389c89-0023-421e-88c2-eec00ae5853b for annotation_id=3e03d6ff-d4f2-4c57-93fe-e2c07a3c4b2c
2026-02-11 12:44:57 | INFO | Auto rebuild observation done. New obs_id=84389c89-0023-421e-88c2-eec00ae5853b
